tmdb_id,imdb_id,title,release_date,runtime,budget_nominal,revenue_nominal,genre_primary,genre_secondary,vote_average,vote_count
580489,tt7097896,Venom: Let There Be Carnage,2021-09-30,97,110000000,506863592,Science Fiction,Action,6.745,11195
316029,tt1485796,The Greatest Showman,2017-12-20,105,84000000,459066134,Drama,N/A,7.858,10075
300668,tt2798920,Annihilation,2018-02-22,115,40000000,43070915,Science Fiction,Horror,6.441,9387
391713,tt4925292,Lady Bird,2017-09-01,94,10000000,79000000,Drama,Comedy,7.252,9034
26466,tt1187064,Triangle,2009-10-16,99,12000000,1594955,Horror,N/A,6.921,3002
1008042,tt10638522,Talk to Me,2023-07-26,95,4500000,91959188,Horror,N/A,7.143,3763
117263,tt2302755,Olympus Has Fallen,2013-03-20,120,70000000,170270201,Action,Thriller,6.416,7077
262500,tt2908446,Insurgent,2015-03-18,119,110000000,297002527,Action,Science Fiction,6.36,10456
76163,tt1764651,The Expendables 2,2012-08-08,103,100000000,314975955,Action,Adventure,6.4,7200
417859,tt0448694,Puss in Boots,2011-10-27,90,130000000,554987477,Action,Adventure,6.599,4581
399402,tt1846589,Hunter Killer,2018-10-19,121,40000000,31672678,Action,Thriller,6.912,2414
937278,tt7405458,A Man Called Otto,2022-12-28,126,50000000,113360085,Comedy,Drama,7.751,3602
937287,tt16426418,Challengers,2024-04-18,132,55000000,94182533,Drama,Romance,6.9,2696
172385,tt2357291,Rio 2,2014-03-19,101,103000000,498781117,Animation,Adventure,6.5,3769
464052,tt7126948,Wonder Woman 1984,2020-12-16,151,200000000,169601036,Action,Adventure,6.365,9077
8909,tt0493464,Wanted,2008-06-19,110,75000000,342463063,Action,Thriller,6.5,7611
8204,tt0416236,The Spiderwick Chronicles,2008-02-14,95,90000000,164200000,Family,Adventure,6.706,2867
5174,tt0293564,Rush Hour 3,2007-08-08,90,140000000,258097122,Action,Comedy,6.499,3731
1427,tt0396171,Perfume: The Story of a Murderer,2006-09-13,147,63700000,135039924,Crime,Fantasy,7.365,5022
64688,tt1232829,21 Jump Street,2012-03-14,109,42000000,201585328,Action,Comedy,6.887,11048
762504,tt10954984,Nope,2022-07-20,130,68000000,171932082,Horror,Science Fiction,6.823,4922
531309,tt7752126,Brightburn,2019-05-09,91,6000000,33224654,Horror,Science Fiction,6.155,3479
2454,tt0499448,The Chronicles of Narnia: Prince Caspian,2008-05-15,150,225000000,419665568,Adventure,Family,6.632,6783
324852,tt3469046,Despicable Me 3,2017-06-15,90,80000000,1034800131,Action,Animation,6.5,7642
10030,tt0452625,Good Luck Chuck,2007-09-21,101,25000000,59768495,Comedy,Romance,5.9,1667
38234,tt1156466,Undisputed III: Redemption,2010-04-17,96,3000000,76500000,Action,Thriller,7.571,1031
308531,tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,2016-05-30,112,135000000,245623848,Action,Adventure,6.058,3811
718789,tt10298810,Lightyear,2022-06-15,105,200000000,226425420,Animation,Science Fiction,6.869,3821
609681,tt10676048,The Marvels,2023-11-08,105,274800000,206136825,Science Fiction,Adventure,5.939,3412
81188,tt1446192,Rise of the Guardians,2012-11-21,97,145000000,306941670,Action,Adventure,7.376,7164
270303,tt3235888,It Follows,2015-02-04,101,2300000,23374076,Horror,Mystery,6.583,6934
337401,tt4566758,Mulan,2020-09-04,115,200000000,69965374,Adventure,Fantasy,6.8,7055
264660,tt0470752,Ex Machina,2015-01-21,108,15000000,36869414,Drama,Science Fiction,7.573,14289
290250,tt3799694,The Nice Guys,2016-05-15,116,50000000,71261763,Comedy,Crime,7.132,8679
1023922,tt22048412,MaXXXine,2024-07-04,103,10000000,22057160,Horror,Thriller,6.294,1512
423204,tt6189022,Angel Has Fallen,2019-08-21,122,40000000,146661977,Action,Thriller,6.604,3897
109428,tt1288558,Evil Dead,2013-04-05,91,17000000,99010045,Horror,N/A,6.607,5054
343668,tt4649466,Kingsman: The Golden Circle,2017-09-20,141,104000000,410902662,Action,Adventure,6.945,11154
13053,tt0397892,Bolt,2008-11-21,98,150000000,309979994,Animation,Family,6.544,6507
100402,tt1843866,Captain America: The Winter Soldier,2014-03-20,136,170000000,714766572,Action,Adventure,7.656,20050
302946,tt2140479,The Accountant,2016-10-13,128,44000000,155160045,Crime,Thriller,7.138,7372
725201,tt1649418,The Gray Man,2022-07-13,128,200000000,454023,Action,Thriller,6.898,4250
661539,tt11563598,A Complete Unknown,2024-12-25,141,65000000,140508652,Drama,Music,7.1,1459
87827,tt0454876,Life of Pi,2012-11-20,127,120000000,609016565,Adventure,Drama,7.41,13794
19908,tt1156398,Zombieland,2009-10-02,87,23600000,102391540,Comedy,Horror,7.259,13206
570670,tt1051906,The Invisible Man,2020-02-26,124,7000000,144492724,Thriller,Science Fiction,7.089,6290
76757,tt1617661,Jupiter Ascending,2015-02-04,127,176000000,184000000,Science Fiction,Fantasy,5.468,7128
12244,tt0472033,9,2009-08-19,79,30000000,48428063,Action,Adventure,7.0,3899
4982,tt0765429,American Gangster,2007-11-02,157,100000000,269755430,Drama,Crime,7.594,6062
13223,tt1205489,Gran Torino,2008-12-12,116,33000000,270000000,Drama,N/A,7.991,11606
70160,tt1392170,The Hunger Games,2012-03-12,142,75000000,694000000,Science Fiction,Adventure,7.224,23336
974576,tt20215234,Conclave,2024-10-25,120,20000000,115657988,Drama,Thriller,7.195,3425
22803,tt1197624,Law Abiding Citizen,2009-10-15,109,53000000,127900000,Drama,Crime,7.4,5689
96721,tt1979320,Rush,2013-09-02,123,38000000,90200000,Drama,Action,7.741,7849
646389,tt5884796,Plane,2023-01-11,107,25000000,74515586,Action,Adventure,6.897,2671
614696,tt10620868,#Alive,2020-06-24,98,6300000,13416285,Action,Horror,7.215,2051
38700,tt1502397,Bad Boys for Life,2020-01-15,124,90000000,426505244,Thriller,Action,7.113,8755
762441,tt13433802,A Quiet Place: Day One,2024-06-26,100,67000000,261907653,Horror,Science Fiction,6.6,3369
274855,tt1981128,Geostorm,2017-10-12,109,120000000,221600160,Action,Science Fiction,6.126,5194
785084,tt13833688,The Whale,2022-12-09,117,3000000,57615635,Drama,N/A,7.769,4708
339964,tt2239822,Valerian and the City of a Thousand Planets,2017-07-19,137,177200000,225973340,Adventure,Science Fiction,6.64,8022
949423,tt18925334,Pearl,2022-09-16,102,1000000,9847490,Horror,Drama,7.234,2598
1114513,tt27534307,Speak No Evil,2024-09-11,110,15000000,77239314,Horror,Thriller,7.119,2141
495764,tt7713068,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020-02-05,109,75000000,205537933,Action,Crime,6.9,10833
82675,tt1397280,Taken 2,2012-09-27,91,45000000,376100000,Action,Crime,6.368,7122
451048,tt0870154,Jungle Cruise,2021-07-28,127,200000000,220889446,Fantasy,Comedy,7.289,6185
2503,tt0440963,The Bourne Ultimatum,2007-08-03,115,70000000,442824138,Action,Drama,7.439,8384
1440,tt0404203,Little Children,2006-10-06,137,26000000,14821658,Drama,Romance,7.081,1155
663,tt0890870,Saw IV,2007-10-25,93,10000000,139352653,Horror,Thriller,6.168,4115
22970,tt1259521,The Cabin in the Woods,2012-04-12,95,30000000,71038838,Horror,Mystery,6.653,8593
103663,tt2106476,The Hunt,2012-10-25,116,3800000,18300000,Drama,N/A,8.1,4774
228161,tt2224026,Home,2015-03-18,94,135000000,368871007,Fantasy,Comedy,6.787,4234
1452,tt0348150,Superman Returns,2006-06-28,154,223000000,391081192,Science Fiction,Action,5.819,4584
1136867,tt30253473,Materialists,2025-06-12,116,20000000,107949056,Romance,Drama,6.272,1316
23168,tt0840361,The Town,2010-09-15,125,37000000,154026136,Crime,Drama,7.223,5659
189,tt0458481,Sin City: A Dame to Kill For,2014-08-20,102,65000000,39407616,Action,Crime,6.403,4175
1729,tt0865556,The Forbidden Kingdom,2008-04-17,104,55000000,127906624,Action,Adventure,6.645,1922
22894,tt1038686,Legion,2010-01-21,100,26000000,67918658,Action,Fantasy,5.906,2881
505026,tt7657566,Death on the Nile,2022-02-09,127,90000000,137307235,Mystery,Crime,6.41,4199
